view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
113,104.3626,18.7284,-914.3713,-234.1345,320.0049
114,83.5602,26.2370,-888.3210,100.2664,440.6012
115,109.3065,29.7357,-816.7399,-286.1223,494.3346
116,149.5055,-9.8475,-498.2999,-846.1325,-170.4518
117,248.5854,-29.6813,806.0989,-316.1439,-493.5123
118,10.0294,-22.7901,-160.0191,904.7936,-386.0562
119,356.7232,-24.8312,51.7005,903.0236,-418.5361
120,100.2803,19.5011,-924.3889,-167.6622,332.7035
121,30.3071,-17.4169,-479.8824,820.9853,-298.3169
122,329.1298,-27.5471,453.3991,758.4688,-460.9244
123,164.7721,-12.4667,-255.6050,-938.9752,-215.1479
124,97.6945,19.2504,-932.4453,-125.9810,328.5901
125,97.7360,19.2818,-932.1754,-126.6314,329.1055
126,357.4100,-24.6817,40.9220,904.6660,-416.1752
127,163.4939,-17.2320,-270.4534,-912.6777,-295.2477
128,113.9185,29.8733,-790.0013,-350.3860,496.4118
129,231.3506,-25.2407,704.0456,-563.0272,-424.9906
130,107.7989,13.6388,-922.1800,-296.0602,235.0092
131,79.7765,17.2472,-936.7158,168.9387,295.4999
132,69.1762,-4.2795,-928.9429,353.3143,-74.3718
133,290.2224,27.4018,830.2785,305.8514,458.6823
134,283.7820,27.4923,858.6412,210.6158,460.0795
135,29.1325,-19.4601,-457.4796,820.8311,-332.0325
136,91.5348,13.4790,-968.8432,-25.9588,232.3057
137,99.4840,22.1009,-910.7908,-152.1527,374.9756
138,199.2615,-19.4942,309.9267,-886.9194,-332.5903
139,14.8678,-21.9929,-237.1195,893.1782,-373.2346
140,208.8280,-18.3694,456.0755,-828.6396,-314.0834
141,101.0569,18.4053,-928.1070,-181.3627,314.6773
142,173.1114,-14.0964,-115.9365,-959.6533,-242.7369
143,319.5885,-28.8250,566.0425,664.8275,-480.5176
144,85.0110,9.3304,-979.7312,85.5251,161.5834
145,287.2886,27.9203,840.8461,261.7109,466.6714
146,287.3547,27.9370,840.4136,262.6404,466.9281
147,324.6064,-28.4255,507.6508,714.5040,-474.4170
148,100.7485,13.4554,-952.2805,-180.7696,231.9075
149,101.2465,19.6461,-920.6016,-183.0603,335.0799
150,26.4618,-18.7824,-420.4555,844.7139,-320.8932
151,112.6483,27.0495,-819.1761,-341.8004,453.2328
152,10.3084,-21.0676,-166.4248,915.0127,-358.2617
153,97.6999,19.0209,-933.7302,-126.2431,324.8190
154,236.5416,-28.1593,733.0701,-484.4428,-470.3405
155,98.2074,19.0910,-932.1811,-134.4524,325.9721
156,49.4079,-16.8562,-724.2957,620.6234,-288.9967
157,300.6681,-28.6520,752.2770,446.1026,-477.8793
158,141.1650,-10.2466,-615.0077,-763.9579,-177.2874
159,110.7931,8.6489,-921.1346,-349.7795,149.8741
160,35.0473,-19.4129,-539.7867,769.5425,-331.2574
161,204.4315,-19.0673,389.6002,-857.6159,-325.5819
162,166.5616,-11.7115,-226.7978,-949.1749,-202.3032
163,99.6615,18.6668,-930.8229,-158.4651,318.9899
164,101.1112,18.4696,-927.5876,-182.1743,315.7382
165,114.4744,6.4925,-901.2734,-410.2480,112.6928
166,101.1083,18.5389,-927.2219,-182.0532,316.8804
167,93.2942,14.4265,-963.6217,-55.4648,248.3016
168,322.6963,-28.1834,532.3942,698.7744,-470.7097
169,94.0243,16.8223,-951.6411,-66.9510,288.4333
170,19.8105,-20.7711,-315.8186,876.7167,-353.4449
171,93.3767,15.2356,-959.9448,-56.6401,261.9062
172,99.8577,17.8328,-934.7509,-162.4288,305.2122
173,119.4082,0.9986,-868.0875,-489.3050,17.3703
174,102.9900,13.2848,-945.1505,-218.0307,229.0198
175,262.8048,-29.5490,860.1865,-108.5943,-491.5114
176,284.1094,29.4396,841.7666,211.5835,489.8555
177,225.5393,-25.6427,641.2752,-629.3164,-431.3048
178,22.3328,-20.8650,-353.8749,861.4317,-354.9718
179,4.0343,-22.4222,-64.8165,919.0120,-380.1483
180,82.7245,7.2361,-980.7448,125.2094,125.5355
181,26.8683,29.8656,-390.6053,770.9835,496.2950
182,107.2788,14.2421,-922.4155,-286.9261,245.1936
183,12.7132,-23.7840,-200.7054,889.6414,-401.9359
184,224.5217,-19.0272,660.6442,-671.7673,-324.9229
185,229.9260,-27.0810,679.0310,-571.2714,-453.7210
186,98.2227,18.8695,-933.3856,-134.8799,322.3285
187,93.5693,15.7440,-957.3917,-59.7183,270.4291
188,58.4671,-11.8876,-831.2603,510.0534,-205.3017
189,97.5333,19.2277,-932.9248,-123.3730,328.2184
190,102.4786,15.4163,-938.0869,-207.6005,264.9377
191,250.7857,-29.4903,819.1912,-285.5019,-490.6236
